code,description
050,national defense
150,international affairs
250,"general science, space, and technology"
270,energy
300,natural resources and environment
350,agriculture
370,commerce and housing credit
400,transportation
450,community and regional development
500,"education, training, employment, and social services"
550,health
570,medicare
600,income security
650,social security
700,veterans benefits and services
750,administration of justice
800,general government
900,net interest
920,allowances
950,undistributed offsetting receipts
